scorer,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010,DLC_Resnet50_0815Aug16shuffle1_snapshot_010
bodyparts,PIP,PIP,PIP,MCP,MCP,MCP,hand,hand,hand,radius_styloid_process,radius_styloid_process,radius_styloid_process,forearm,forearm,forearm
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
96,1566.503,848.44226,0.8549352,1194.7301,809.87036,0.81620044,1105.1888,801.26526,0.8585933,765.5503,730.3363,0.95805883,567.24835,702.74286,0.8309491
97,1560.6062,836.8225,0.79904854,1196.1655,811.28894,0.8114736,1106.6956,802.54553,0.9082304,766.41797,732.73444,0.895856,567.8837,706.2066,0.84867465
98,1532.2432,824.58057,0.7259701,1196.0367,811.5923,0.81209695,1107.52,802.6238,0.9261037,766.6754,733.0086,0.91021144,567.9045,706.5954,0.86579573
99,1501.3558,812.40753,0.7680541,1194.8221,811.62866,0.851975,1107.7654,802.7337,0.9336674,766.59375,733.4036,0.91620207,567.6127,707.05676,0.8731699
100,1481.9122,803.70685,0.732441,1193.8943,810.17206,0.8298891,1107.1318,801.969,0.90706915,766.3901,732.797,0.8804543,567.65466,706.452,0.86312485
101,1479.7079,799.16266,0.71893275,1189.0021,806.2767,0.80621386,1101.4098,799.73376,0.8748454,761.63416,730.9754,0.93229234,562.48914,705.5997,0.89741594
102,1503.9159,806.1293,0.6825629,1189.4104,806.74695,0.8344985,1100.7815,799.71674,0.8969462,761.3753,731.7342,0.9279523,562.1232,706.8395,0.9069353
103,1531.2013,818.8234,0.8660655,1190.7423,807.879,0.8325465,1100.9205,799.89166,0.89527065,761.60016,732.11584,0.92289466,562.14825,707.2732,0.9138415
104,1556.4902,836.73065,0.79794306,1191.902,809.8999,0.8725717,1102.2662,802.4405,0.9048081,762.14703,734.05133,0.90893704,561.972,708.7416,0.93069583
105,1568.8632,857.40796,0.85079354,1196.8959,815.1427,0.75278085,1107.3611,806.83374,0.9201417,765.7362,737.6554,1.0,565.85114,710.5479,0.88654876
106,1556.9677,867.2226,0.89710337,1203.5724,819.0431,0.7880019,1112.6355,808.344,0.8284393,771.548,736.61163,0.9272183,572.06885,708.3241,1.0
107,1535.3396,867.64154,1.0,1203.6123,817.5672,0.7630874,1113.3345,806.1486,0.88435197,772.83124,732.2007,0.90860426,574.41095,702.48975,0.9558502
108,1508.4832,864.72675,0.90873545,1200.706,814.85583,0.7603148,1110.9015,804.08386,0.896692,770.9875,730.2797,0.94276136,572.7061,701.06976,1.0
109,1498.6925,860.2856,0.94396174,1195.2173,810.98376,0.8709686,1105.8584,801.63196,0.8559062,766.1121,729.5111,0.91677403,568.68536,700.8247,0.9197096
110,1501.2505,860.18567,0.8817534,1191.5026,811.19244,0.8661971,1101.9319,802.24554,0.9051937,763.37445,730.1832,0.97853273,566.713,702.3095,0.8302079
111,1516.3517,860.2882,0.86330634,1190.2347,811.8198,0.87678224,1101.44,802.7925,0.93451333,763.18805,731.3978,0.9511275,566.52185,703.75726,0.8315622
112,1538.4581,859.6333,0.83602834,1189.9279,811.62134,0.85139626,1101.2368,802.5773,0.9169063,763.0728,730.9633,0.93019664,566.4188,703.5167,0.82304627
113,1557.6956,853.8222,0.77241623,1193.1864,810.38715,0.8258519,1103.5426,802.66254,0.89626116,764.469,730.233,0.938461,567.2982,702.0481,0.8493381
114,1569.5093,849.38873,0.9356808,1197.7195,811.08344,0.76537174,1107.97,802.2316,0.8839208,768.50635,730.58325,0.9160085,570.6491,702.4579,0.89590514
